"","Scenario","Method","Mean_Truth","Mean","Abs_Bias","EmpSD","RMSE"
"1","Q misspecified; g correct","MLE",0.104259922802979,0.163148131352399,0.05888820854942,0.044417820140762,0.0740550857777287
"2","Q misspecified; g correct","IPW",0.104259922802979,0.0978025075329925,0.00645741526998602,0.0571757477060829,0.0568943991153469
"3","Q misspecified; g correct","AIPW",0.104259922802979,0.112517742789532,0.00825781998655336,0.0595485443740903,0.0596302477574986
"4","Q misspecified; g correct","TMLE",0.104259922802979,0.105448798034937,0.00118887523195872,0.0600546121669857,0.0592377545910414
"5","Q correct; g misspecified","MLE",0.127947829781113,0.130806475834425,0.00285864605331154,0.0368938165943926,0.0368196188434515
"6","Q correct; g misspecified","IPW",0.127947829781113,0.119097613141121,0.00885021663999186,0.0615128253244687,0.0623350769728162
"7","Q correct; g misspecified","AIPW",0.127947829781113,0.128944078080753,0.000996248299639787,0.0460237037837499,0.0458238366467775
"8","Q correct; g misspecified","TMLE",0.127947829781113,0.129299883843465,0.00135205406235165,0.0437364318430088,0.0436090779152332
"9","Both misspecified","MLE",0.127947829781113,0.162395252930473,0.03444742314936,0.0443839387426711,0.0563235120934594
"10","Both misspecified","IPW",0.127947829781113,0.119097613141121,0.00885021663999186,0.0615128253244687,0.0623350769728162
"11","Both misspecified","AIPW",0.127947829781113,0.125006380443706,0.00294144933740704,0.0629928378639743,0.0628665725052766
"12","Both misspecified","TMLE",0.127947829781113,0.124188868955866,0.00375896082524733,0.0601489517220402,0.0601712640846232
"13","Both correctly specified","MLE",0.104259922802979,0.107912533208074,0.00365261040509502,0.0382658667069424,0.0380689557935299
"14","Both correctly specified","IPW",0.104259922802979,0.0978025075329925,0.00645741526998602,0.0571757477060829,0.0568943991153469
"15","Both correctly specified","AIPW",0.104259922802979,0.104534728872376,0.0002748060693972,0.0486718712085175,0.0483228711445141
"16","Both correctly specified","TMLE",0.104259922802979,0.105862165032259,0.00160224222928087,0.0498772334065172,0.0495626660863684
