"","Scenario","Method","Mean_Truth","Mean","Abs_Bias","EmpSD","RMSE"
"1","Q misspecified; g correct","MLE",0.142668761272161,0.157707995077694,0.0150392338055335,0.0428340856774949,0.0453773367485208
"2","Q misspecified; g correct","IPW",0.142668761272161,0.140038636602099,0.0026301246700617,0.0487189813307357,0.0487655940037926
"3","Q misspecified; g correct","AIPW",0.142668761272161,0.145854094509508,0.00318533323734675,0.0522112373169016,0.0522822497286851
"4","Q misspecified; g correct","TMLE",0.142668761272161,0.145376804368367,0.00270804309620561,0.0531995505327525,0.0532418583646449
"5","Q correct; g misspecified","MLE",0.142668761272161,0.145359832593561,0.00269107132139964,0.0355114096268081,0.0355955196383778
"6","Q correct; g misspecified","IPW",0.142668761272161,0.120697175958043,0.0219715853141181,0.0506505622412608,0.0551875396907314
"7","Q correct; g misspecified","AIPW",0.142668761272161,0.144508619423613,0.00183985815145214,0.0395703643868043,0.039593345425516
"8","Q correct; g misspecified","TMLE",0.142668761272161,0.14459702528074,0.0019282640085792,0.0392406412952878,0.0392683880930064
"9","Both misspecified","MLE",0.142668761272161,0.157707995077694,0.0150392338055335,0.0428340856774949,0.0453773367485208
"10","Both misspecified","IPW",0.142668761272161,0.120697175958043,0.0219715853141181,0.0506505622412608,0.0551875396907314
"11","Both misspecified","AIPW",0.142668761272161,0.119234744412579,0.0234340168595816,0.0501044460932544,0.055291031903634
"12","Both misspecified","TMLE",0.142668761272161,0.119019745029937,0.0236490162422241,0.0494463575020253,0.054788441273437
"13","Both correctly specified","MLE",0.142668761272161,0.145359832593561,0.00269107132139964,0.0355114096268081,0.0355955196383778
"14","Both correctly specified","IPW",0.142668761272161,0.140038636602099,0.0026301246700617,0.0487189813307357,0.0487655940037926
"15","Both correctly specified","AIPW",0.142668761272161,0.144109069649753,0.0014403083775922,0.0415620893190707,0.0415662645605833
"16","Both correctly specified","TMLE",0.142668761272161,0.144526231527158,0.00185747025499689,0.0416600974169687,0.0416806711656942
