"","Scenario","Method","Mean_Truth","Mean","Abs_Bias","EmpSD","RMSE"
"1","Q misspecified; g correct","MLE",0.199346220253005,0.163873990590364,0.0354722296626411,0.0438574451868886,0.056479283726684
"2","Q misspecified; g correct","IPW",0.199346220253005,0.199442155291858,9.59350388532615e-05,0.0430034918652519,0.0424698090463022
"3","Q misspecified; g correct","AIPW",0.199346220253005,0.20017698053343,0.000830760280425309,0.0429807951883492,0.0424567523806686
"4","Q misspecified; g correct","TMLE",0.199346220253005,0.200249521514713,0.000903301261707783,0.043063567461019,0.0425354684538916
"5","Q correct; g misspecified","MLE",0.178674928922128,0.18080759192298,0.00213266300085237,0.0381133284128211,0.0378404251036076
"6","Q correct; g misspecified","IPW",0.178674928922128,0.150153886807554,0.0285210421145733,0.043349103283821,0.0514829520658833
"7","Q correct; g misspecified","AIPW",0.178674928922128,0.180303229452284,0.00162830053015664,0.0390866034680079,0.0387499964199321
"8","Q correct; g misspecified","TMLE",0.178674928922128,0.180284412570816,0.00160948364868832,0.0392104079780659,0.038870421949121
"9","Both misspecified","MLE",0.178674928922128,0.163480504137845,0.0151944247842821,0.0437618666652293,0.0454754069192774
"10","Both misspecified","IPW",0.178674928922128,0.150153886807554,0.0285210421145733,0.043349103283821,0.0514829520658833
"11","Both misspecified","AIPW",0.178674928922128,0.151168576205926,0.0275063527162013,0.0429860395020778,0.0506264838962264
"12","Both misspecified","TMLE",0.178674928922128,0.151173011392231,0.0275019175298967,0.0429727592270421,0.0506124455934193
"13","Both correctly specified","MLE",0.199346220253005,0.201208921803819,0.00186270155081378,0.0373707673434298,0.036679670712582
"14","Both correctly specified","IPW",0.199346220253005,0.199442155291858,9.59350388532615e-05,0.0430034918652519,0.0424698090463022
"15","Both correctly specified","AIPW",0.199346220253005,0.200598606361386,0.00125238610838104,0.0388482924209588,0.0381932762548873
"16","Both correctly specified","TMLE",0.199346220253005,0.20061029259967,0.00126407234666516,0.0388663664825524,0.0382101249916646
