"","Scenario","Method","Mean_Truth","Mean","Abs_Bias","EmpSD","RMSE"
"1","Q misspecified; g correct","MLE",0.20023629080567,0.149564147054142,0.0506721437515288,0.0407120144866612,0.0658689785441435
"2","Q misspecified; g correct","IPW",0.20023629080567,0.203262500954699,0.00302621014902889,0.0650023385957408,0.0643530537254901
"3","Q misspecified; g correct","AIPW",0.20023629080567,0.195758979726901,0.00447731107876917,0.0709450996981684,0.0706356510237328
"4","Q misspecified; g correct","TMLE",0.20023629080567,0.194433459549404,0.00580283125626642,0.0637362809152546,0.0632495828465201
"5","Q correct; g misspecified","MLE",0.16543654588496,0.167186781925694,0.00175023604073446,0.0378355437211802,0.0379115693568491
"6","Q correct; g misspecified","IPW",0.16543654588496,0.123095801048999,0.0423407448359613,0.0584105676300392,0.0715089102188359
"7","Q correct; g misspecified","AIPW",0.16543654588496,0.167852155584912,0.00241560969995219,0.0433101700507431,0.0432852445508566
"8","Q correct; g misspecified","TMLE",0.16543654588496,0.168064144392603,0.00262759850764255,0.0446990943177836,0.044626030446896
"9","Both misspecified","MLE",0.16543654588496,0.15067812845867,0.0147584174262899,0.0407163895987062,0.0440398289789055
"10","Both misspecified","IPW",0.16543654588496,0.123095801048999,0.0423407448359613,0.0584105676300392,0.0715089102188359
"11","Both misspecified","AIPW",0.16543654588496,0.110578302424274,0.0548582434606855,0.0507951989611116,0.0745334116149358
"12","Both misspecified","TMLE",0.16543654588496,0.110358299225999,0.055078246658961,0.0506099303817576,0.0746504507662636
"13","Both correctly specified","MLE",0.20023629080567,0.201414946647706,0.00117865584203589,0.0384608729205425,0.0369841716507544
"14","Both correctly specified","IPW",0.20023629080567,0.203262500954699,0.00302621014902889,0.0650023385957408,0.0643530537254901
"15","Both correctly specified","AIPW",0.20023629080567,0.203348790635646,0.00311249982997533,0.0530647160725292,0.0521636592863914
"16","Both correctly specified","TMLE",0.20023629080567,0.201977515329036,0.00174122452336576,0.0530030054713109,0.0519770979000322
