"","Scenario","Method","Mean_Truth","Mean","Abs_Bias","EmpSD","RMSE"
"1","Q misspecified; g correct","MLE",0.136259593570852,0.236290503375,0.100030909804148,0.0608969291908297,0.11709359702876
"2","Q misspecified; g correct","IPW",0.136259593570852,0.13501018984703,0.00124940372382246,0.0593369621762896,0.0593204451677093
"3","Q misspecified; g correct","AIPW",0.136259593570852,0.149528106115979,0.0132685125451267,0.0632136869814954,0.064560263914678
"4","Q misspecified; g correct","TMLE",0.136259593570852,0.135984664521149,0.000274929049703626,0.0616384080476888,0.061608194579042
"5","Q correct; g misspecified","MLE",0.136259593570852,0.136664534608992,0.000404941038139591,0.0393124307344516,0.0392948561555475
"6","Q correct; g misspecified","IPW",0.136259593570852,0.138531960796263,0.00227236722541074,0.0606255221130549,0.0606377945703515
"7","Q correct; g misspecified","AIPW",0.136259593570852,0.135953077590781,0.000306515980071352,0.0472096678116133,0.0471870526118557
"8","Q correct; g misspecified","TMLE",0.136259593570852,0.135710965390359,0.000548628180492912,0.0482117437537464,0.0481907548853674
"9","Both misspecified","MLE",0.136259593570852,0.236290503375,0.100030909804148,0.0608969291908297,0.11709359702876
"10","Both misspecified","IPW",0.136259593570852,0.138531960796263,0.00227236722541074,0.0606255221130549,0.0606377945703515
"11","Both misspecified","AIPW",0.136259593570852,0.132121027563353,0.00413856600749972,0.0611890384858179,0.0612983038997534
"12","Both misspecified","TMLE",0.136259593570852,0.124596699987228,0.0116628935836243,0.0583749109661351,0.0594999637547523
"13","Both correctly specified","MLE",0.136259593570852,0.136664534608992,0.000404941038139591,0.0393124307344516,0.0392948561555475
"14","Both correctly specified","IPW",0.136259593570852,0.13501018984703,0.00124940372382246,0.0593369621762896,0.0593204451677093
"15","Both correctly specified","AIPW",0.136259593570852,0.135956943865985,0.000302649704866975,0.0488448366873843,0.0488213462513078
"16","Both correctly specified","TMLE",0.136259593570852,0.136153716406246,0.000105877164605998,0.0508244926144264,0.0507991843481601
