"","Scenario","Method","Mean_Truth","Mean","Abs_Bias","EmpSD","RMSE"
"1","Q misspecified; g correct","MLE",0.178990823403574,0.1635348343266,0.0154559890769738,0.0440743919869256,0.0466850840776333
"2","Q misspecified; g correct","IPW",0.178990823403574,0.176621856270164,0.00236896713341019,0.0455705247734559,0.0456092979630163
"3","Q misspecified; g correct","AIPW",0.178990823403574,0.182133847322965,0.00314302391939138,0.0466090616607904,0.0466916568952991
"4","Q misspecified; g correct","TMLE",0.178990823403574,0.185547342095598,0.00655651869202386,0.0481080381018117,0.0485289283215096
"5","Q correct; g misspecified","MLE",0.178990823403574,0.181767733086768,0.00277690968319379,0.0357490476919017,0.0358389124256806
"6","Q correct; g misspecified","IPW",0.178990823403574,0.170504601675992,0.00848622172758144,0.0462885291209788,0.047037232693529
"7","Q correct; g misspecified","AIPW",0.178990823403574,0.180576160501786,0.00158533709821187,0.0389198479559358,0.0389326739906626
"8","Q correct; g misspecified","TMLE",0.178990823403574,0.180584295994788,0.00159347259121397,0.0389286223483157,0.0389417687733723
"9","Both misspecified","MLE",0.178990823403574,0.1635348343266,0.0154559890769738,0.0440743919869256,0.0466850840776333
"10","Both misspecified","IPW",0.178990823403574,0.170504601675992,0.00848622172758144,0.0462885291209788,0.047037232693529
"11","Both misspecified","AIPW",0.178990823403574,0.160624742990548,0.0183660804130258,0.0452300040438151,0.0487957008585332
"12","Both misspecified","TMLE",0.178990823403574,0.161109797234624,0.01788102616895,0.0450434705904517,0.0484418870962386
"13","Both correctly specified","MLE",0.178990823403574,0.181767733086768,0.00277690968319379,0.0357490476919017,0.0358389124256806
"14","Both correctly specified","IPW",0.178990823403574,0.176621856270164,0.00236896713341019,0.0455705247734559,0.0456092979630163
"15","Both correctly specified","AIPW",0.178990823403574,0.180012503066098,0.00102167966252419,0.0402609321646292,0.0402537643635837
"16","Both correctly specified","TMLE",0.178990823403574,0.180338966117973,0.00134814271439948,0.0402440953316124,0.0402465540217947
